"id","usagecounter","appver","datecreated"
123490514,0,"0.0.0","2024-06-23 16:23:29"
123490513,0,"0.0.0","2024-06-23 15:13:08"
123490512,0,"0.0.0","2024-06-23 15:07:51"
123490511,0,"0.0.0","2024-06-23 14:38:41"
123490510,0,"0.0.0","2024-06-23 12:26:17"
123490509,0,"0.0.0","2024-06-23 11:26:34"
123490508,20,"0.0.0","2024-06-23 11:04:42"
123490507,1,"0.0.0","2024-06-23 10:39:19"
123490506,0,"0.0.0","2024-06-23 04:50:22"
123490505,0,"0.0.0","2024-06-23 04:45:34"
123490504,2,"0.0.0","2024-06-23 01:35:29"
123490503,0,"0.0.0","2024-06-23 01:28:07"
123490502,3,"0.0.0","2024-06-23 01:24:10"
123490501,0,"0.0.0","2024-06-23 00:20:57"
123490500,0,"0.0.0","2024-06-22 23:04:22"
123490499,0,"0.0.0","2024-06-22 17:14:51"
123490498,0,"0.0.0","2024-06-22 17:12:31"
123490497,0,"0.0.0","2024-06-22 14:58:21"
123490496,0,"0.0.0","2024-06-22 12:02:04"
123490495,16,"0.0.0","2024-06-22 08:56:59"
123490494,0,"0.0.0","2024-06-22 05:23:57"
123490493,0,"0.0.0","2024-06-22 05:02:11"
123490492,0,"0.0.0","2024-06-21 23:31:48"
123490491,5,"0.0.0","2024-06-21 23:18:34"
123490490,0,"0.0.0","2024-06-21 15:45:51"
123490489,0,"0.0.0","2024-06-21 15:39:43"
123490488,0,"0.0.0","2024-06-21 13:49:12"
123490487,0,"0.0.0","2024-06-21 13:32:07"
123490486,0,"0.0.0","2024-06-21 07:35:41"
123490485,0,"0.0.0","2024-06-21 06:24:49"
123490484,0,"0.0.0","2024-06-21 06:16:35"
123490483,0,"0.0.0","2024-06-21 05:25:05"
123490482,0,"0.0.0","2024-06-21 03:34:14"
123490481,0,"0.0.0","2024-06-21 01:50:48"
123490480,1,"0.0.0","2024-06-20 22:51:43"
123490479,0,"0.0.0","2024-06-20 21:10:06"
123490478,0,"0.0.0","2024-06-20 19:34:52"
123490477,0,"0.0.0","2024-06-20 10:20:40"
123490476,0,"0.0.0","2024-06-20 04:10:51"
123490475,0,"0.0.0","2024-06-20 02:52:24"
123490474,0,"0.0.0","2024-06-19 22:51:01"
123490473,0,"0.0.0","2024-06-19 17:14:08"
123490472,0,"0.0.0","2024-06-19 10:08:30"
123490471,2,"0.0.0","2024-06-19 10:00:26"
123490470,0,"0.0.0","2024-06-19 09:09:48"
123490469,0,"0.0.0","2024-06-18 20:23:30"
123490468,1,"0.0.0","2024-06-18 19:07:36"
123490467,0,"0.0.0","2024-06-18 17:56:34"
123490466,0,"0.0.0","2024-06-18 16:35:13"
123490465,0,"0.0.0","2024-06-18 15:20:14"
123490464,1,"0.0.0","2024-06-18 14:52:54"
123490463,0,"0.0.0","2024-06-18 14:46:26"
123490462,0,"0.0.0","2024-06-18 11:12:48"
123490461,0,"0.0.0","2024-06-18 09:09:05"
123490460,0,"0.0.0","2024-06-18 01:47:08"
